day,label,volume,fees,traders
2023-05-10 00:00:00.000 UTC,Level,7.512227142202558e+07,76305.22415242912,60
2023-05-15 00:00:00.000 UTC,Level,1.1737849963483793e+08,119958.75756813255,39
2023-07-11 00:00:00.000 UTC,Level,8.393723219491069e+07,84188.73197509101,58
2023-03-12 00:00:00.000 UTC,Level,6.609994019535551e+07,66484.68888541641,69
2023-04-27 00:00:00.000 UTC,Level,7.236098346182679e+07,72565.10244273696,75
2023-06-04 00:00:00.000 UTC,Level,3.441096528191535e+07,35074.603609746075,20
2023-04-02 00:00:00.000 UTC,Level,1.2057124336130576e+08,121829.60123886362,52
2023-06-08 00:00:00.000 UTC,Level,1.3537322860223247e+07,13750.862628920611,40
2023-03-14 00:00:00.000 UTC,Level,1.0392014092938744e+08,104827.69718188398,91
2023-05-30 00:00:00.000 UTC,Level,5.163147670998238e+07,52218.89233886956,37
2023-05-09 00:00:00.000 UTC,Level,9.726619256097829e+06,9753.309470210832,31
2023-03-25 00:00:00.000 UTC,Level,1.1781344656169122e+08,118008.95395318832,45
2023-05-21 00:00:00.000 UTC,Level,2.575753948451741e+07,26335.970665188077,22
2023-05-01 00:00:00.000 UTC,Level,9.173358494020292e+07,92763.14990726204,73
2023-05-22 00:00:00.000 UTC,Level,4.5367444697256014e+07,45660.290048258415,39
2023-03-29 00:00:00.000 UTC,Level,1.2476072623121007e+08,126066.29042022281,62
2023-03-08 00:00:00.000 UTC,Level,1.603952125772317e+08,166870.82389601282,63
2023-03-13 00:00:00.000 UTC,Level,9.988761415095778e+07,100495.21139637507,91
2023-03-27 00:00:00.000 UTC,Level,6.366569292763796e+07,65006.551721616415,75
2023-05-26 00:00:00.000 UTC,Level,9.532076566922177e+07,96674.84043019186,53
2023-07-20 00:00:00.000 UTC,Level,4.082129673509833e+07,41142.82783238464,45
2023-06-22 00:00:00.000 UTC,Level,2.154603261029068e+07,21957.506633496905,54
2023-04-16 00:00:00.000 UTC,Level,2.799627648884095e+08,284009.80747289123,68
2023-07-05 00:00:00.000 UTC,Level,2.020770185200781e+07,20552.705265054836,63
2023-04-06 00:00:00.000 UTC,Level,1.715865998614496e+08,172623.38667173346,52
2023-03-23 00:00:00.000 UTC,Level,9.490627199776916e+07,97537.71525685709,75
2023-07-13 00:00:00.000 UTC,Level,3.6458006055965793e+08,369095.37262031494,82
2023-05-23 00:00:00.000 UTC,Level,5.783516416260009e+07,58546.715407156844,42
2023-07-08 00:00:00.000 UTC,Level,3.2606893297621436e+07,32800.220308930235,39
2023-06-14 00:00:00.000 UTC,Level,8.550539082530114e+07,100475.12362953872,62
2023-06-09 00:00:00.000 UTC,Level,3.121042317814432e+07,31849.333855729627,32
2023-05-27 00:00:00.000 UTC,Level,9.47548221959343e+07,95440.08133098367,24
2023-03-09 00:00:00.000 UTC,Level,1.2153383549096748e+08,126504.09359059327,82
2023-04-12 00:00:00.000 UTC,Level,2.4910591116634056e+08,252010.54531786332,88
2023-03-22 00:00:00.000 UTC,Level,1.1736072337501945e+08,119079.77429509608,92
2023-06-19 00:00:00.000 UTC,Level,1.837178930669228e+07,21198.03478102138,49
2023-04-21 00:00:00.000 UTC,Level,1.3714884395927837e+08,137966.67922143915,88
2023-04-09 00:00:00.000 UTC,Level,2.612205576466741e+08,263014.8413173173,61
2023-07-19 00:00:00.000 UTC,Level,2.1663015536994687e+06,2842.694638980754,37
2023-06-07 00:00:00.000 UTC,Level,3.791982188255816e+07,38894.503987600016,63
2023-04-18 00:00:00.000 UTC,Level,3.3246449282392323e+08,338517.00172568834,62
2023-07-25 00:00:00.000 UTC,Level,7.224962714702712e+06,7521.575091072345,27
2023-07-27 00:00:00.000 UTC,Level,3.0013132588655045e+06,3097.055653932177,32
2023-06-28 00:00:00.000 UTC,Level,2.5633640847979356e+07,25876.003066035682,66
2023-03-17 00:00:00.000 UTC,Level,2.1272630644197798e+08,215448.64189022634,87
2023-04-04 00:00:00.000 UTC,Level,1.807409233943039e+08,181284.60346324637,65
2023-07-17 00:00:00.000 UTC,Level,1.9328894841991585e+07,30710.42673999374,60
2023-03-30 00:00:00.000 UTC,Level,1.1007691721280289e+08,110955.52140461697,71
2023-06-06 00:00:00.000 UTC,Level,2.2309676664868183e+07,22890.821561375447,57
2023-04-23 00:00:00.000 UTC,Level,1.7788763489640936e+08,178472.65560787913,41
2023-06-01 00:00:00.000 UTC,Level,6.215037423908382e+07,63133.449581708206,44
2023-03-02 00:00:00.000 UTC,Level,8.746426437895778e+07,90444.74962638048,48
2023-05-03 00:00:00.000 UTC,Level,5.613497835127744e+07,57517.750832306585,53
2023-04-20 00:00:00.000 UTC,Level,1.287009316015388e+08,130145.4826803997,82
2023-05-24 00:00:00.000 UTC,Level,2.1796644482838422e+08,219422.52788250326,56
2023-03-24 00:00:00.000 UTC,Level,1.611526018947766e+08,162686.377381329,63
2023-03-19 00:00:00.000 UTC,Level,2.2869376157786968e+08,229622.4906959927,68
2023-04-17 00:00:00.000 UTC,Level,2.6997934354573804e+08,272567.0121628986,81
